a 2
a 3
a 4
a 5
a 6
a 7
b 2
b 3
b 4
b 5
b 6
b 7
c 2
c 3
c 4
c 5
c 6
c 7
d 2
d 3
d 4
d 5
d 6
d 7
e 2
e 3
e 4
e 5
e 6
e 7
f 2
f 3
f 4
f 5
f 6
f 7
g 2
g 3
g 4
g 5
g 6
g 7
h 2
h 3
h 4
rook 1 d 6
rook 1 d 7
rook 1 e 2
rook 1 e 3
rook 1 e 4
rook 1 e 5
rook 1 e 6
rook 1 e 7
rook 1 f 2
rook 1 f 3
rook 1 f 4
rook 1 f 5
rook 1 f 6
rook 1 f 7
rook 1 g 2
rook 1 g 3
rook 1 g 4
rook 1 g 5
rook 1 g 6
rook 1 g 7
rook 1 h 2
rook 1 h 3
rook 1 h 4
rook 1 h 5
rook 1 h 6
rook 1 h 7
rook 2 a 2
rook 2 a 3
rook 2 a 4
rook 2 a 5
rook 2 a 6
rook 2 a 7
rook 2 b 2
rook 2 b 3
rook 2 b 4
rook 2 b 5
rook 2 b 6
rook 2 b 7
rook 2 c 2
rook 2 c 3
rook 2 c 4
rook 2 c 5
rook 2 c 6
rook 2 c 7
rook 2 d 2
rook 2 d 3
rook 2 d 4
rook 2 d 5
rook 2 d 6
rook 2 d 7
rook 2 e 2
rook 2 e 3
rook 2 e 4
rook 2 e 5
rook 2 e 6
rook 2 e 7
rook 2 f 2
rook 2 f 3
rook 2 f 4
rook 2 f 5
rook 2 f 6
rook 2 f 7
rook 2 g 2
rook 2 g 3
rook 2 g 4
rook 2 g 5
rook 2 g 6
rook 2 g 7
rook 2 h 2
rook 2 h 3
rook 2 h 4
rook 2 h 5
rook 2 h 6
rook 2 h 7
rook 3 a 2
rook 3 a 3
rook 3 a 4
rook 3 a 5
rook 3 a 6
rook 3 a 7
rook 3 b 2
rook 3 b 3
rook 3 b 4
rook 3 b 5
rook 3 b 6
rook 3 b 7
rook 3 c 2
rook 3 c 3
rook 3 c 4
rook 3 c 5
rook 3 c 6
rook 3 c 7
rook 3 d 2
rook 3 d 3
rook 3 d 4
rook 3 d 5
rook 3 d 6
rook 3 d 7
rook 3 e 2
rook 3 e 3
rook 3 e 4
rook 3 e 5
rook 3 e 6
rook 3 e 7
rook 3 f 2
rook 3 f 3
rook 3 f 4
rook 3 f 5
rook 3 f 6
rook 3 f 7
rook 3 g 2
rook 3 g 3
rook 3 g 4
rook 3 g 5
rook 3 g 6
rook 3 g 7
rook 3 h 2
rook 3 h 3
rook 3 h 4
rook 3 h 5
rook 3 h 6
rook 3 h 7
rook 4 a 2
rook 4 a 3
rook 4 a 4
rook 4 a 5
rook 4 a 6
rook 4 a 7
rook 4 b 2
rook 4 b 3
rook 4 b 4
rook 4 b 5
rook 4 b 6
rook 4 b 7
rook 4 c 2
rook 4 c 3
rook 4 c 4
rook 4 c 5
rook 4 c 6
rook 4 c 7
rook 4 d 2
rook 4 d 3
rook 4 d 4
rook 4 d 5
rook 4 d 6
rook 4 d 7
rook 4 e 2
rook 4 e 3
rook 4 e 4
rook 4 e 5
rook 4 e 6
rook 4 e 7
rook 4 f 2
rook 4 f 3
rook 4 f 4
rook 4 f 5
rook 4 f 6
rook 4 f 7
rook 4 g 2
rook 4 g 3
rook 4 g 4
rook 4 g 5
rook 4 g 6
rook 4 g 7
rook 4 h 2
rook 4 h 3
rook 4 h 4
rook 4 h 5
rook 4 h 6
rook 4 h 7
rook 5 a 2
rook 5 a 3
rook 5 a 4
rook 5 a 5
rook 5 a 6
rook 5 a 7
rook 5 b 2
rook 5 b 3
rook 5 b 4
rook 5 b 5
rook 5 b 6
rook 5 b 7
rook 5 c 2
rook 5 c 3
rook 5 c 4
rook 5 c 5
rook 5 c 6
rook 5 c 7
rook 5 d 2
rook 5 d 3
rook 5 d 4
rook 5 d 5
rook 5 d 6
rook 5 d 7
rook 5 e 2
rook 5 e 3
rook 5 e 4
rook 5 e 5
rook 5 e 6
rook 5 e 7
rook 5 f 2
rook 5 f 3
rook 5 f 4
rook 5 f 5
rook 5 f 6
rook 5 f 7
rook 5 g 2
rook 5 g 3
rook 5 g 4
rook 5 g 5
rook 5 g 6
rook 5 g 7
rook 5 h 2
rook 5 h 3
rook 5 h 4
rook 5 h 5
rook 5 h 6
rook 5 h 7
rook 6 a 2
rook 6 a 3
rook 6 a 4
rook 6 a 5
rook 6 a 6
rook 6 a 7
rook 6 b 2
rook 6 b 3
rook 6 b 4
rook 6 b 5
rook 6 b 6
rook 6 b 7
rook 6 c 2
rook 6 c 3
rook 6 c 4
rook 6 c 5
rook 6 c 6
rook 6 c 7
rook 6 d 2
rook 6 d 3
rook 6 d 4
rook 6 d 5
rook 6 d 6
rook 6 d 7
rook 6 e 2
rook 6 e 3
rook 6 e 4
rook 6 e 5
rook 6 e 6
rook 6 e 7
rook 6 f 2
rook 6 f 3
rook 6 f 4
rook 6 f 5
rook 6 f 6
rook 6 f 7
rook 6 g 2
rook 6 g 3
rook 6 g 4
rook 6 g 5
rook 6 g 6
rook 6 g 7
rook 6 h 2
rook 6 h 3
rook 6 h 4
rook 6 h 5
rook 6 h 6
rook 6 h 7
rook 7 a 2
rook 7 a 3
rook 7 a 4
rook 7 a 5
rook 7 a 6
rook 7 a 7
rook 7 b 2
rook 7 b 3
rook 7 b 4
rook 7 b 5
rook 7 b 6
rook 7 b 7
rook 7 c 2
rook 7 c 3
rook 7 c 4
rook 7 c 5
rook 7 c 6
rook 7 c 7
rook 7 d 2
rook 7 d 3
rook 7 d 4
rook 7 d 5
rook 7 d 6
rook 7 d 7
rook 7 e 2
rook 7 e 3
rook 7 e 4
rook 7 e 5
rook 7 e 6
rook 7 e 7
rook 7 f 2
rook 7 f 3
rook 7 f 4
rook 7 f 5
rook 7 f 6
rook 7 f 7
rook 7 g 2
rook 7 g 3
rook 7 g 4
rook 7 g 5
rook 7 g 6
rook 7 g 7
rook 7 h 2
rook 7 h 3
rook 7 h 4
rook 7 h 5
rook 7 h 6
rook 7 h 7
rook 8 a 2
rook 8 a 3
rook 8 a 4
rook 8 a 5
rook 8 a 6
rook 8 a 7
rook 8 b 2
rook 8 b 3
rook 8 b 4
rook 8 b 5
rook 8 b 6
rook 8 b 7
rook 8 c 2
rook 8 c 3
rook 8 c 4
rook 8 c 5
rook 8 c 6
rook 8 c 7
rook 8 d 2
rook 8 d 3
rook 8 d 4
rook 8 d 5
rook 8 d 6
rook 8 d 7
rook 8 e 2
rook 8 e 3
rook 8 e 4
rook 8 e 5
rook 8 e 6
rook 8 e 7
rook 8 f 2
rook 8 f 3
rook 8 f 4
rook 8 f 5
rook 8 f 6
rook 8 f 7
rook 8 g 2
rook 8 g 3
rook 8 g 4
rook 8 g 5
rook 8 g 6
rook 8 g 7
rook 8 h 2
rook 8 h 3
rook 8 h 4
rook 8 h 5
rook 8 h 6
rook 8 h 7
rook a a 1
rook a a 2
rook a a 3
rook a a 4
rook a a 5
rook a a 6
rook a a 7
rook a a 8
rook a b 1
rook a b 2
rook a b 3
rook a b 4
rook a b 5
rook a b 6
rook a b 7
rook a b 8
rook a c 1
rook a c 2
rook a c 3
rook a c 4
rook a c 5
rook a c 6
rook a c 7
rook a c 8
rook a d 1
rook a d 2
rook a d 3
rook a d 4
rook a d 5
rook a d 6
rook a d 7
rook a d 8
rook a e 1
rook a e 2
rook a e 3
rook a e 4
rook a e 5
rook a e 6
rook a e 7
rook a e 8
rook a f 1
rook a f 2
rook a f 3
rook a f 4
rook a f 5
rook a f 6
rook a f 7
rook a f 8
rook a g 1
rook a g 2
rook a g 3
rook a g 4
rook a g 5
rook a g 6
rook a g 7
rook a g 8
rook a h 1
rook a h 2
rook a h 3
rook a h 4
rook a h 5
rook a h 6
rook a h 7
rook a h 8
rook b a 1
rook b a 2
rook b a 3
rook b a 4
rook b a 5
rook b a 6
rook b a 7
rook b a 8
rook b b 1
rook b b 2
rook b b 3
rook b b 4
rook b b 5
rook b b 6
rook b b 7
rook b b 8
rook b c 1
rook b c 2
rook b c 3
rook b c 4
rook b c 5
rook b c 6
rook b c 7
rook b c 8
rook b d 1
rook b d 2
rook b d 3
rook b d 4
rook b d 5
rook b d 6
rook b d 7
rook b d 8
rook b e 1
rook b e 2
rook b e 3
rook b e 4
rook b e 5
rook b e 6
rook b e 7
rook b e 8
rook b f 1
rook b f 2
rook b f 3
rook b f 4
rook b f 5
rook b f 6
rook b f 7
rook b f 8
rook b g 1
rook b g 2
rook b g 3
rook b g 4
rook b g 5
rook b g 6
rook b g 7
rook b g 8
rook b h 1
rook b h 2
rook b h 3
rook b h 4
rook b h 5
rook b h 6
rook b h 7
rook b h 8
rook c a 1
rook c a 2
rook c a 3
rook c a 4
rook c a 5
rook c a 6
rook c a 7
rook c a 8
rook c b 1
rook c b 2
rook c b 3
rook c b 4
rook c b 5
rook c b 6
rook c b 7
rook c b 8
rook c c 1
rook c c 2
rook c c 3
rook c c 4
rook c c 5
rook c c 6
rook c c 7
rook c c 8
rook c d 1
rook c d 2
rook c d 3
rook c d 4
rook c d 5
rook c d 6
rook c d 7
rook c d 8
rook c e 1
rook c e 2
rook c e 3
rook c e 4
rook c e 5
rook c e 6
rook c e 7
rook c e 8
rook c f 1
rook c f 2
rook c f 3
rook c f 4
rook c f 5
rook c f 6
rook c f 7
rook c f 8
rook c g 1
rook c g 2
rook c g 3
rook c g 4
rook c g 5
rook c g 6
rook c g 7
rook c g 8
rook c h 1
rook c h 2
rook c h 3
rook c h 4
rook c h 5
rook c h 6
rook c h 7
rook c h 8
rook d a 1
rook d a 2
rook d a 3
rook d a 4
rook d a 5
rook d a 6
rook d a 7
rook d a 8
rook d b 1
rook d b 2
rook d b 3
rook d b 4
rook d b 5
rook d b 6
rook d b 7
rook d b 8
rook d c 1
rook d c 2
rook d c 3
rook d c 4
rook d c 5
rook d c 6
rook d c 7
rook d c 8
rook d d 1
rook d d 2
rook d d 3
rook d d 4
rook d d 5
rook d d 6
rook d d 7
rook d d 8
rook d e 1
rook d e 2
rook d e 3
rook d e 4
rook d e 5
rook d e 6
rook d e 7
rook d e 8
rook d f 1
rook d f 2
rook d f 3
rook d f 4
rook d f 5
rook d f 6
rook d f 7
rook d f 8
rook d g 1
rook d g 2
rook d g 3
rook d g 4
rook d g 5
rook d g 6
rook d g 7
rook d g 8
rook d h 1
rook d h 2
rook d h 3
rook d h 4
rook d h 5
rook d h 6
rook d h 7
rook d h 8
rook e a 1
rook e a 2
rook e a 3
rook e a 4
rook e a 5
rook e a 6
rook e a 7
rook e a 8
rook e b 1
rook e b 2
rook e b 3
rook e b 4
rook e b 5
rook e b 6
rook e b 7
rook e b 8
rook e c 1
rook e c 2
rook e c 3
rook e c 4
rook e c 5
rook e c 6
rook e c 7
rook e c 8
rook e d 1
rook e d 2
rook e d 3
rook e d 4
rook e d 5
rook e d 6
rook e d 7
rook e d 8
rook e e 1
rook e e 2
rook e e 3
rook e e 4
rook e e 5
rook e e 6
rook e e 7
rook e e 8
rook e f 1
rook e f 2
rook e f 3
rook e f 4
rook e f 5
rook e f 6
rook e f 7
rook e f 8
rook e g 1
rook e g 2
rook e g 3
rook e g 4
rook e g 5
rook e g 6
rook e g 7
rook e g 8
rook e h 1
rook e h 2
rook e h 3
rook e h 4
rook e h 5
rook e h 6
rook e h 7
rook e h 8
rook f a 1
rook f a 2
rook f a 3
rook f a 4
rook f a 5
rook f a 6
rook f a 7
rook f a 8
rook f b 1
rook f b 2
rook f b 3
rook f b 4
rook f b 5
rook f b 6
rook f b 7
rook f b 8
rook f c 1
rook f c 2
rook f c 3
rook f c 4
rook f c 5
rook f c 6
rook f c 7
rook f c 8
rook f d 1
rook f d 2
rook f d 3
rook f d 4
rook f d 5
rook f d 6
rook f d 7
rook f d 8
rook f e 1
rook f e 2
rook f e 3
rook f e 4
rook f e 5
rook f e 6
rook f e 7
